English,Italian
OVEN DOOR,PORTA FORNO
"ADHESIVE GASKET,12X2,BY METER","GUARNIZIONE ADESIVA,12X2,BY METER"
FIXING CABLE KIT,PRESSACAVO KIT
MOTOR COMPL,MOTORE CPL
ULTRAVIOLET LAMP 8W,LAMPADA ULTRAVIOLETTO 8W
HANDLE SERVER,MANIGLIA
"HOLDING CAB,GN,2 DRAW,1S,800X800X450H",BASE CALDA MANTENIMENTO 2CASS 1LATO H450
REFLECTOR SUPPORT,STAFFA SUPPORTO
DOOR CLOSURE,CHIUSURA PORTA
PRESSURE X-DUCER,RIDUTTORE PRESSIONE
LEVER LEFT,LEVA SINISTRA
"DECAL,CTRL PANEL,TOUCHPAD",ETICHETTA
DRIVING SHAFT,ALBERO MOTORE
COOLING UNIT CAJ9480Z,UNITA' REFRIGERANTE CAJ9480Z
"PLATFORM SCALE,AUTOMATIC,60KG/20GR","BILICO A PAVIMENTO,AUTOMAT,,60KG/20GR"
RECEIVER PHOTOELECTRIC CELL,FOTOCELLULA RICEVENTE
KNIFE EQ K180,COLTELLO EQ K180
DOOR DICTATOR PLATED,PORTA
KNOB,MANOPOLA
MOTOR BRACKET T8E,SUPPORTO MOTORE T8E
CHIMNEY FLANGE,FLANGIA
SENSOR LEVEL,SENSORE DI LIVELLO
PROTECTION LEFT,PROTEZIONE SINISTRA
FOOT L=26MM,PIEDE L=26MM
"EL,WARM CAB,4DR,PAS,H2,GN,2S,800X900X550","VANO CALDO EL PASS,4P,H2,GN,2L,800XH550"
COVER,COPERTURA
PIN-WHEEL-RACK,SPINA
TROLLEY ASSY TR200,GRUPPO CARRELLO TR200
OVEN TRIM,MONTANTE
EVAPORATOR COVERING LEFT,COPERTURA EVAPORATORE SINISTRA
BURNER EXTENSION,PROLUNGA
SOLDER PLATE KIT,PIATTINA SALDANTE KIT
COVERING XBM40,COPERTURA XBM40
"REPL,= 077482161000",SCHWIMMERSCHALTER ARS
"BEARING AUT,626ZZ","CUSCINETTO AUT,626ZZ"
SENSOR LEVEL,SONDA DI LIVELLO
PUMP 220-230/380-400/50/3,MOTORE POMPA 220-230/380-400/50/3
DETERGENT INJECTOR,INIETTORE DETERSIVO
"REPL,= 0780053979",CAPPUCCIO DI PROTEZIONE
"EL,BOILING PAN+TAP,RECT,300L(H),FS,D850","PENTOLA ELETTR,RETT,+RUB,300LT(H)P=850MM"
ROCKERARM PREWASH,BRACCIO PRELAVAGGIO
KEYBOARD XW265K,TASTIERA PER XW265K
"ALUM,LINEAR SHELV,-POLY,TIERS-475X772MM","SC,LINEARI ALLUM,RIP,POLYETH-475X772MM"
SIDE LEFT,FIANCO
"CHICKEN GRILL,VERTICAL,5GRIDS,15PCS","GRIGLIA VERTICALE,5 GRIGLIE,15 POLLI"
STRAINER THERMA,FILTRO THERMA
HOSE HOUSING,ALLOGGIAMENTO FLESSIBILE
COPPER NUT M21,DADO
GUIDE LOWER,GUIDA LOWER
UNION ELBOW 8X10X1/4,RACCORDO A GOMITO 8X10X1/4
GRILL_DRIP TRAY_LTB/GB/HWD,GRIGLIA
SENSOR PROXIMITE TR17/K25,SENSORE PROXIMITE TR17/K25
SWITCH WIRING HARNESS,CABLAGGIO INTERRUTTORE
LOWER FIXING PART,TIRANTE
"FULL IND+STAT,OVEN,TAP(L)2S,1200X900X700","INDUZ,AMPIA SUP+FORNO STAT+RUB,SX,2LH700"
HOUSING MB40,ALLOGGIAMENTO MB40
LOCKING HOOK,"GANCIO CHIUSURA ID2,2 F"
FILTER_CONDENSER EZ 1.1,CONDENSATORE
RELAY 2CR4 115,RELE' 2CR4 115
WASHER,RONDELLA
T-HINGE,CERNIERA
FRONT WALL,PARETE FRONTALE
"PASSTH,BASE,H2,GN,4DOOR,2S,1000X800X450H",BASE APERTA PASSANTE1000MM 4PORTE 2LATI
DIGITAL THERMOMETER,TERMOMETRO DIGITALE
"SS CUT-MIX-FLAT-17,5L-MCROTH+BOWL+SCR-2S","CUT,-MIXER INOX 17,5L-MICROD,-380-415/3F"
THERMOCOUPLE PCB 1M,SCHEDA CONTROLLO TERMOCOPPIE 1M
"SCREW 4,2X32MM","VITE 4,2X32MM"
SNAPPER,CONTENITORE
CRANK ARM,BRACCIO
D37 CORK,"TAPPO D,37"
BASKET HEYTEA,CESTO
MOTOR SEPARATOR,INSERTO SEPARATORE
CURTAIN NG20,TENDINA
GASKET 410X630MM,GUARNIZIONE 410X630MM
EVERPURE CARTRIDGE 4CB5-S,FILTRO ACQUA
LABEL_TERMINAL BLOCK_BEV/FS/URN,ETICHETTA
COMPRESSOR 60HZ,COMPRESSORE 60HZ
DECALCIFIER SULFAMIX 1232,UHR
TUBE L=2300MM,TUBO TROPPOPIENO 1PZ=2300MM
OVERFLOW GASKET,GUARNIZIONE TROPPOPIENO
"REPL,= 077046194604",SONDA DI TEMPERATURA
MOTOR COMPLETE 3PH,MOTORE COMPLETE 3PH
"WORK TOP,CLOSED,1-SIDE,1000X800X250H",NEUTRO TOP 1000MM 1 LATO
SIGN,PIASTRINA
"NOZZLE DIA,1,10MM","UGELLO DIA,1,10MM"
"FLR,DRAIN+GRATE+C,SIPH-VERT OUT,400X950","GRIGLIATO+-SIFONE CENTR,-VERTIC,400X950"
FAN SUPPORT,SUPPORTO
DRAWER GASKET 415X496MM,GUARNIZIONE CASSETTO 415X496MM
CHAIN LINK,ANELLO CATENA
"REPL,= 0780051454",TERMOSTATO DI SICUREZZA
"REPL,= 0780046213",GUARNIZIONE
PIPE COMPLETE,CONDUTTURA
BACKCOVER BLUE,PANNELLO POSTERIORE BLU
INTERMEDIATE SHELF,RIPIANO INTERMEDIO
SLIDE,SLITTA
WASHER 8X24,RONDELLA
LEFT SIDE,FIANCO SX
"WORK TOP,CLOSED,1-SIDE,200X800X250H",NEUTRO TOP 200MM 1 LATO
SWITCHBOARD 24V,PULSANTIERA 24V
OPERATION INSTRUCTION-H2,ETICHETTA ADESIVA
SUPPORT BODY TBM150,SUPPORTO BODY TBM150
VENTILATION CONTROLE KNOB,MANOPOLA VENTILATORE
TANK INOX,VASCA INOX PER CUTTER R23
"NOZZLE DIA,1,40","UGELLO DIA,1,40"
"EL,MULTIBRAISER,1/1GN,1S,BS,400X900X700H","BRASIERA MULTIFUNZ,EL GN1/1,1L,ALZ,H700"
LOCKING CLAMP,FASCETTA DI CHIUSURA
KEYSWITCH SCHNEIDER XB4BG61,INTERRUTTORE
OVEN DOOR CHASSIS,PORTA FORNO
FRYER LID 7-14LT,COPERCHIO
EVAPORATOR-40 P253545,EVAPORATORE
FRAME HORIZONTAL,CORNICE HORIZONTAL
SPRING OVENDOOR,MOLLA PORTA FORNO
SHOULDER,ALZATINA
CONDENSER P45,CONDENSATORE
"ALUM,CORNER SHELV,-POLY,TIERS-373X1578MM","SC,AD ANG ALLUM,RIP,POLYETH-373X1578MM"
CONTROLLER HACCP,CONTROLLORE HACCP
DOOR CLOSING OVEN,CHIUSURA PORTA
PANTOLON S BEDEN,PANTALONE TAGLIA S
"INSERT DIA,16X12","INSERTO FISSAGGIO CARRO DIA,16X12"
"SWITCH,V7-2B17D8-201,MICROSWCH",INTERRUTTORE
"FULL IND,CUPB,H2,4ZONE,2S,1000X900X700H","INDUZ,AMPIA SUP,4 ZONE+VANO ARM,,2L,H700"
SUPPORT LEFT (SX),SUPPORTO LEFT (SX)
DOOR ASSEMBLY CPE1,PORTINA COMPLETA CPE1
GLASS SUPPORT,SUPPORTO BICCHIERE
COMBUSTION CHAMBER,CAMERA COMBUSTIONE
SPEED VARIATOR,VARIATORE DI VELOCITA
SIDE SEALING PLATE,PIASTRA
FLOOR,PAVIMENTO
"EL,PASTA COOK,1X20L,1S,BSPL,400X850X700H","CUOCIPASTA EL,,20LT,1 LATO,ALZATINA,H700"
FILTER XBE10,FILTRO XBE10
CABLE CHANNEL,CANALINA CAVI
BOTTOM EQ TR200,FONDO EQ TR200
THERMOREGULATOR XR50CX,TERMOREGOLATORE XR50CX
SEALING RING,ANELLO DI TENUTA
PLATE,PIASTRA
"REPL,= 077071331201",RELE
"REPL,= 077019011210",TRASFORMATORE D'ACCENSIONE
"FULL IND,WARM,H2,4Z,1S,BS,1000X900X700H","INDUZ,AMPIA SUP,4Z+VANO CALDO+ALZ,1LH700"
FIXING HOOK,GANCIO DI FISSAGGIO
RING 2125,O-RING 2125
CHAIN WHEEL,RUOTA PER CATENA
BUTTON ON/OFF,TASTO ON/OFF
"GASKET 402X496,5 MM","GUARNIZIONE 402X496,5 MM"
STRAIGHT BLADE,GRUPPO COLTELLI LAMA LISCIA
CONDENSATION KEEPER,RACCOGLICONDENSA GT TRASPARENTE
SWITCH KNOB ON/OFF,INTERRUTTORE
SPRAYER RING,ANELLO SPRUZZATORE
PUMP LID,COPERCHIO POMPA ELFRAMO
HEATED CENTREPIECE,CENTROTAVOLA RECHAUD
"NUT M8 H=5,5MM","DADO M8 H=5,5MM"
"REPL,= 077019003352",RACCORDO
"REPL,= 0780052949",UGELLO GAS
VALVE HANDLE,MANIGLIA
BACK UPPER CASING,RIVESTIMENTO ESTERNO
FLAT FRAME BLUE,CORNICE
ESD CONNECTION BRACKET,SQUADRETTA
WASHER 7X20X2,RONDELLA 7X20X2
VALVE 1/2,VALVOLA 1/2
WASHER M5,RONDELLA
"EL,SOLID TOP,WARM,CAB,PASS,2S,1000X900X7","TUTTAPIASTRA EL+ARMADIO CALDO PASS,2LATI"
MOBILE SECTOR,SETTORE MOBILE
SPROCKET FIXING PIN,SPINA
THERMOSTAT EL120/250/310/500,TERMOSTATO
"GROMMET DIA,22","PASSAFILO DIA,22"
PROBE PT100,SONDA PT100
PERISTALTIC PUMPS SUPPORT,SUPPORTO
DRAIN SUPPORT,LAMIERINO
PINION Z=29,PIGNONE Z 29 3/8S
BOTTOM EQ GRIDDLE,FONDO EQ GRIDDLE
FILTER KIT COMPLETE,FILTRO KIT COMPLETO
TAPE,NASTRO
WIRING LOOM,CAVO MOTORIDUTTORE H40
RECEPTION PLATE CT/DTA,PIASTRA DI ACCOGLIENZA CT/DTA
FREQUENCY CONVERTER LID,COPERCHIO
SPRING ADJUSTMENT,REGOLAZIONE MOLLE
SAFETY THERMOSTAT 132°,TERMOSTATO DI SICUREZZA 132°
"GAS FRYTOP,SMOOTH PL,1-SIDE,800X900X250H","FRYTOP GAS PIASTRA LISCIA,1L,800MMXH250"
BAND RMC,BANDA RMC
"REPL,= 0780047573",INTERRUTTORE SALVAMOTORE
MOTOR DS,MOTORE DS
CONTROLER,CONTROLLORE
"NOZZLE DIA 5,90","UGELLO DIA 5,90"
DOOR SLIDER,CURSORE DELLA PORTA
COMPRESSOR NE6170Z,COMPRESSORE NE6170Z
"EL,DEEP FRYER,1X7L,1-S,BSPL,400X800X700H","FRIGGITRICE EL,1VASCA7LT,1LATO-H 700+ALZ"
SWITCH PANEL,PANELLO INTERRUTTORI
"GAS FRYTOP,SMOOTH,1S,BSPL,400X900X250H","FRYTOP GAS,PIASTRA LISCIA,1LATO,ALZ,H250"
WATERINLET,ATTACCO ACQUA
LABEL_TOP WARNING_890-T,ETICHETTA
EXPANDER,ESPANSORE
O-RING 2093,ANELLO OR 2093
SPRING PAD M14,ANELLO
PUMP CASE,CHIOCCIOLA POMPA
ETL COMPRESSOR SET,COMPRESSORE
"V-RING,SEALING",ANELLO DI TENUTA A V
"EL,DEEP FRYER,1X7L,1-S,BSPL,400X900X800H","FRIGGITRICE ELETTR,,7 LT,1 LATO,ALZ,H800"
"DRYER D35,D355/6,D112 DRYER",EVAPORATORE
"MULTIRT,150R/H,L DRYER,EL,0-LIME,R>L,ESD",LS CESTO TRASCINATO 150 C/ORA TUNNEL ASCIUGATURA 900MM ELETTRICA D>S ZERO LIME ESD
"BELT SUPERGRIP DIM,2565X50MM","BANDA SUPERGRIP DIM,2565X50MM"
"REPL,= 0700231154",RUBINETTO GAS
STEAM PIPE FLOW,TUBO VAPORE FLOW
PRESSURE SWITCH 28/12,PRESSOSTATO 28/12
CABLE POTENTIOMETER-DISPLAY,CAVO POTENTIOMETER-DISPLAY
ARM BUSHING,BOCCOLA LAVAGGIO
GATE RIGHT 10.10,"RASTRELLIERA PORTATEGLIE LATO DX,10,10"
"SWITCH CM,BIP,NA/NA","INTERRUTTORE CM,BIP,NA/NA"
"RUBBER FOOT(2"")1&5/8""FITTING",PIEDINO DI GOMMA
PUSH BUTTON,PULSANTE
EXIT RAIL 1500,SOSTEGNO
SHORT ROD,"ASTA COLL,ESTREMITA' CORTA GR,CHIUSURA"
TANK GRID,VASCA
"REPL,= 077482385801",RESISTENZA
SCREW M5X12 TTL,VITE M5X12 TTL
BOILER MOUNTING BRACKET,SQUADRETTA
LOWER STEEL SLIDE,SCIVOLO INFERIORE IN ACCIAIO
FAN DEA031C,VENTILATORE DEA031C
CARDOBOARD PROTECTION,PROTEZIONE GT1 TOUCH/PUSH
ELECTRIC TERMINAL SET,MORSETTO ELETTRICO
FLAT PACKING,GUARNIZIONE PIATTA
CABLE LINK,CAVO
LID CPL T10/15E,COPERCHIO COMPLETO T10E/T15E
REDUCER 200-300L,RIDUZIONE 200-300L
MOTOR EMBALLE XBM10,MOTORE EMBALLE XBM10
PCB FT,SCHEDA ELETTRONICA FT
FEEDING BAR,STAFFA MOVIMENTAZIONE
HANDLE,MANIGLIA
RING RINGFAN PRIMING,ANELLO RINGFAN PRIMING
STICKERS,KIT ADESIVI CIOCCOLATIERA MARRONE
PANEL LIBERO POINT,PANNELLO
WSB5 HINGE,CERNIERA
"MOTOR C/BOB,E40/53T-6-3RA 115/60","STATORE H40 MAGNETICO C/BOB,E40/53T-6-3RA 115/60"
"NOZZLE =1,55MM","UGELLO 1,55MM"
WASH DOOR P-LINE,PORTA
SEAL DOOR,SIGILLANTE
THERMOREGULATOR XW 264L,TERMOREGOLATORE XW 264L
GREASE PIPE,TUBETTO DI GRASSO 70 GR
FITTING BULKHEAD-BRS 250FLR,RACCORDO A Y
ADHESIVE FOR GASKET,ADESIVO FOR GASKET
WHEEL D=61,RUOTA
FIXING CABLE,PRESSACAVO
GREEN LED,LED
BOTTOM GRILL,GRIGLIA DI FONDO
REINFORCEMENT SX,MONTANTE SINISTRO
CABLE PILOT LAMP-REGULATOR,CAVO PILOT LAMP-REGULATOR
HANDLE DOOR,MANIGLIA PORTA
GUIDE COVER ALUMINIUM,COPERTURA GUIDA IN ALLUMINIO
PLANETARY ASSEMBLY,ASSEMBLAGGIO PLANETARIO
WASHER INOX,RONDELLA INOX
CROSS CARD,SCHEDA
ARM UPPER SCRAPER,BRACCIO UPPER SCRAPER
PLASTIC STRIP,FASCETTA IN PLASTICA
"U,V LAMP",LAMPADA GERMICIDA RAGGI UV G13 15W
SENSOR 316-4,SENSORE PER REFRIGERANTI 316-4
GASKET D=6X3MM,GUARNIZIONE D=6X3MM
GLASS DOOR,VETRO PORTA
GAS PIPE LEFT,TUBO GAS SINISTRA
DETERGENT OUTLET,TUBO FLESSIBILE
OVAL GASKET,GUARNIZIONE OVAL
PHOTO SENSOR,SENSORE
BALL GRIP M10X30,POMELLO VOLANTINO M10X30
SUPRT HOOD,SUPPORTO
SPANNER 13MM,CHIAVI A PIPA ESAGONALE PASSANTI
"NOZZLE D2,00","UGELLO D2,00"
THERMOSTAT 35+35°C,TERMOSTATO
PADDLE NGQ50,AGITATORE
"PIPE POST,PILOT",CONDUTTURA POS PILOT
"REPL,= 0780048976",CESTELLO BICCHIERI
COMPRESSOR NJ9232GS,COMPRESSORE NJ9232GS
COIL 5KW/270MM,BOBINA 5KW/270MM
MANOMETER,MANOMETRO
ANGLE 730*60*60*5,ANGOLARE 730*60*60*5
GLASS INSIDE/OUTSIDE,VETRO INSIDE/OUTSIDE
SHACKLE,GANCIO
INSULATING BLOCK,ANGOLARE ISOLANTE
"VACUUM PACKER,ALUM,,BAR=4X450MM","CONFEZIONATRICE SOTTOVUOTO,ALLUM,,4X450"
NUT PLATE,PIASTRA
CONICAL GASKET,GUARNIZIONE CONICA
DOWEL,PERNO DI CENTRAGGIO
"WATER MIXING TAP,KNOBS,1S,200X900X250","COLONNINA ACQUA CON MANOPOLE,1 LATO H250"
BREATHER PIPE SX,TUBO DI SFIATO SX
SCREW 4X35,VITE 4X35
PCB FF42,SCHEDA ELETTRONICA FF42
PLASTIC WASHER,RONDELLA IN PLASTICA
"ACCUMULATOR,D25,D35",ACCUMULATORE
PRESSURE DEVICE,PRESSOSTATO
BAR,BARRA
"SCREW 3,5X13","VITE 3,5X13"
THERMOSTAT 30/110,TERMOSTATO 30/110
HINGED COVER,COPERTURA CERNIERA
FAN INSULATOR,ISOLANTE VENTOLA
COMPLETE MOTOR KE180,MOTORE COMPLETO KE180
CPS GROUNDS TRAY,VASSOIO
SEAL SLEEVE,GUARNIZIONE
FRONT CASING,FRONTALE
FRAME L=681MM,CORNICE L=681MM
KEYBOARD KIT,TASTIERA KIT
MAINBOARD,SCHEDA PRINCIPALE
DOOR PP65,PORTA PP65
BRACKET TIMER DELAY,SQUADRETTA
GRILL 264X432MM,GRIGLIA 264X432MM
LABEL IR LENGHT,ETICHETTA IR LENGHT
FIXING PLATE,PIASTRA DI FISSAGGIO
DRIVE ROLLER,RULLO GUIDA
HARNESS WIRE 3341,CABLAGGIO
"WELD STUD 10-32X1,2-BC/FT",PERNO
IMPELLER 50HZ,"GIRANTE DIAM 134MM, 50HZ"
SPIRAL HOOK,AGGANCIO A SPIRALE
"REDUCING 5,0L/MIN",RIDUT PORTATA GIALLO 5 L/MIN
LABEL 'K 3,ETICHETTA ADESIVA
COVER HINGE ASSY,ASS CERNIERA COPERCHIO
RINSE ARM PIN,BRACCIO
COVER_9L BOWL_INSULATED,COPERTURA
PROBE PT100 L=1500MM,SONDA PT100 L=1500MM
"PANEL,FRONT,BLUE",PANNELLO FRONTALE
FIXING FOR D3D,FISSAGGIO FOR D3D
INFRARED SENSOR,SENSORE A INFRAROSSI COMPLETO
START BUTTON 51210964,PULSANTE DI MARCIA 51210964
UPPER GUIDE WELDING,GUIDA
O-RING 140X2MM,ANELLO OR 140X2MM
LID FLANGE K120,FLANGIA COPERCHIO K120
RETURN AIR PLATE,PIASTRA DI RITORNO DELL'ARIA
MILK TUBE(100,TUBETTO
LINEAR ACTUATOR LEFT,ATTUATORE LINEARE SINISTRO
HORIZONTAL SUPPORT,SUPPORTO
"GASKET RED,1988 MM","GUARNIZIONE RED,1988 MM"
LOCK SAFETY DEVICE,DISPOSITIVO DI SICUREZZA
FLEXIBLE TUBE,TUBO FLESSIBILE 2 M CON GIUNTO RAPIDO FF
"PASSTH,OPEN BASE,H2,GN,2S,500X900X450H","VANO APERTO PASSANTE,H2,GN,2LAT,500XH450"
"REPL,= 0780048717",GOMITO SUPPORTO GETTI
POTENTIOMETER R82,POTENZIOMETRO
TERMINAL BLOCK 240V/3PH-ME10/GB/JAVA/URN,MORSETTIERA 240V/3PH-ME10/GB/JAVA/URN
HANDLE LID,MANIGLIA LID
AIR VALVE MEMBRANE,MEMBRANE VALVOLA ARIA
TRADITIONAL HOODS,CAPPE TRADIZIONALI
KNOB BLACK,MANOPOLA BLACK
BACKING PAN SUPPORT,SUPPORTO TEGLIE
KIT THERMO REPLACE-TINNED,TERMOSTATO
FRAME D100 22,"ASSIEME CORNICE FRONT, D100 22"
COLLECTOR TOP,COLLETTORE
HEATER_3500W/240V,RESISTENZA
QUARTZ LAMP L=1160MM,LAMPADA AL QUARZO L=1160MM
SAFETY THERMOSTAT BRACKET,SQUADRETTA
TUBE MAXI RG20,TUBO CON DIFFUSORE BOMBOLA MAXI RG20
SEAL (LONG,SIGILLO (LUNGO
MICROSWITCH CPL,MICROINTERRUTTORE CPL
PIVOT MRF401/601,PERNO MRF401/601
"PLAN,MIXER-TABLE-MECH-20L 240/1/50","MESC,PLANET,20L,BANCO,MEC 240/1/50"
"PLATFORM SCALE,AUTOMATIC,1500KG/500GR","BILICO A PAVIMENTO,AUTOMAT,,1500KG/500GR"
"PASSTH,BASE,H2,GN,4DOOR,2S,800X800X550H",BASE APERTA PASSANTE800MM 4PORTE 2 LATI
TEMPERATURE CONTROLLER,CONTROLLORE TEMPERATURA
BODY ASSEMBLY,CORPO ASSIEMATO
PACKING SUBMANDEL,SOTTOMANIGLIA IMBALLO NINA 1
COUNTER WEIGHT,CONTRAPPESO
HEAD PULLEY TBM150,PULEGGIA DI TESTA TBM150
CONTROL BOARD_ACTUS_GNB,SCHEDA
RINSE STAND PIPE,TUBO RISCIACQUO
T-SHIRT XL,ACCUMULATORE
THERMOSTAT 37-97°C,TERMOSTATO 37-97°C
HOPPER GRIDL,GRIGLIA TRAMOGGIA DX BREADING
KIT ACOM10010,KIT
HEXAGON NUTS M5,DADI ESAGONALI M5
FILTER BASE,BASE FILTRANTE
CITRUS-FRUIT SQUEZZER,PIGNA SPREMIAGRUMI
WEDGE,CUNEO
ADJUSTABLE FEET,PIEDE
"EL,DEEP FRYER,1X23L,1S,BSPL,500X850X700H","FRIGGITRICE ELETTR,23LT,1 LATO,ALZ,H700"
TUBE,TUBO
"WASHER_FLAT_9/16""ID X 1-1/16""OD_SS",RONDELLA
TURNING DEVICE,DISPOSITIVO DI ROTAZIONE
CASING (S/STEEL,INVOLUCRO
"GAS FRYTOP,SMOOTH,1-S,BSPL,800X850X700H","FRYTOP GAS,PIAS,LISCIA,1L,ALZ,800MMXH700"
USE 700355B,USARE 700355B
LID LIFTING,SOLLEVAMENTO DEL COPERCHIO
"EL,MULTIBRAISER,2/1GN,1SIDE,800X900X800H","BRASIERA MULTIFUNZ,EL GN2/1,1 LATO,H800"
BUSHING CE,BOCCOLA CE
PTC PROBE,SONDA PTC
CONTROL HOOD,CAPPOTTINA COMANDI
HANDRAIL ASS,CORRIMANO ASS
"HEATING ELEMENT 2,000KW","RESISTENZA 2,000KW"
FILTER_SSR EMI,FILTRO
FRONT PLATE SG,PANNELLO FRONTALE
SHAFT COGWHEEL,ALBERO INTERMEDIO
"REPL,= 0700232019",PROLUNGA RUBINETTO 1 1/2 L=100 MM
DRAIN SLEEVE,MANICOTTO DI SCARICO
COMPENSATOR,COMPENSATORE
START BUTTON CPL,PULSANTE DI MARCIA COMPLETO
COVERING PLATE,PANNELLO DI RIVESTIMENTO
"REPL,= 077019003859",BACINELLA ACQUA
GRID LID,COPERCHIO
7 BURNER RAMP,RAMPA 7 BRUCIATORI
SUPPORTING BRACKET,STAFFA DI SUPPORTO
"EL,FRYTOP,SMOOTH PL,1S,BSPL,400X850X700H","FRYTOP EL,PIASTRA LISCIA,1 LATO,ALZ,H700"
MX23FB COMPRESSOR,"COMPRESSORE MX23FB_A CSR V,220-240/50"
PLASTIC FOOT,PIEDINO A PRESSIONE IN PVC
"INSULATOR,FRONT PANEL PREMIX",ISOLANTE
SCREW M5X12,VITE M5X12
SHARPENING UNIT SUPPORT,SUPPORTO AFFILATOIO
BULBHOLDER GASKET,GUARNIZIONE
"150LT EL,BOIL,PAN-IND,HEAT,AUTOCLAVE","PENTOLA EL,RISC,INDIR,AUTOCL,100/150LT"
ADHESIVE LABEL ELECTROLUX,MEMBRANA ELECTROLUX
GASKET 725X435 HUGENTOBLER,GUARNIZIONE 725X435 HUGENTOBLER
SQUARE EXPANDER,ESPANSORE QUADRO
REDUCTION RING,ANELLO DI RIDUZIONE
SPIRAL PSX25/33,SPIRALE SEMPLICE PSX25/33
MOTOR ASSEMBLY,MOTORE
COMPETE HUB,MOZZO COMPLETO
HANDLE KIT,MANIGLIA KIT
COLUMN HANDLE,MANIGLIA PER VOLANTINO
CORD WHEEL,RUOTA
WHEEL D125 PJO,RUOTA D125 PJO
BAIN-MARIE OVERFLOWING,BAGNO MARIA TRABOCCANTE
"INDUCTION,4Z,ST,OVEN,1S,BS,1000X900X700H","INDUZIONE 4 ZONE+FORNO ST 1LATO,ALZAT"
O-RING EPDM,ANELLO OR EPDM
"COMPRESSOR DWM DKJP-7X-EWL,R404A","COMPRESSORE DWM DKJP-7X-EWL,R404A"
"WASHER DIA,6,4","RONDELLA DIA,6,4"
DAMPER HALF SHAFT,ALBERO
INLET PIPE BRACKET,SQUADRETTA
EVAPORATOR SGBE 041C,EVAPORATORE SGBE 041C
RIGHT TURNTABLE SHROUD,COPERTURA
BAFFLE,DIAFRAMMA
INVERTER-GEARMOTOR WIRING HARNESS,CABLAGGIO INVERTER-MOTORIDUTTORE
"REPL,= 0700244934",LAMPADA E14 40W
"LINK CABLE T15-2,5M","CAVO DI COLLEGAMENTO T15-2,5M"
CONVERTER KIT,KIT VARIATORE
TRANSFORMER 400-440V,TRASFORMATORE 400-440V
LOW PRESSURE SWITCH,INTERRUTTORE
BRAKE SHOE,GANASCIA DEL FRENO
BASKET 250X500X80H,CESTELLO BASE IN PLASTICA 250X500X80H
"NOZZLE DIA,2,85","UGELLO DIA,2,85"
MAIN BORAD LCD-2C,SCHEDA MADRE
HANDSHOWER,DOCCETTA
LID GASKET T10E/T15E,GUARNIZIONE COPERCHIO T10E/T15E
SUPPORT THERMOSTAT,SUPPORTO THERMOSTAT
SCREW M5X14,VITE M5X14
COINBOX,GETTONIERA
PANTS XL,ACCUMULATORE
"WORK TOP,CLOSED,1-S,BACKSPL,300X900X250H","ELEMENTO NEUTRO CHIUSO,1LAT,ALZ,300XH250"
MODUL THERMOELECTRICAL WIRED,TERMOSTATO
SUPPORT SX,SEMIGUSCIO SX SUPPORTO PIEDINO
CORPUS COMPLETE,CORPO COMPLETO
"NOZZLE =1,60MM","UGELLO 1,60MM"
MOTOR SUPPORT,SUPPORTO
SPIRAL WIRE,CAVO A SPIRALE
INSULATION BOARD,ISOLANTE
BREADING BASKET,CESTELLO IMPANATURA POLLO
GASKET N°2000,GUARNIZIONE N°2000
DEHYDRATOR FILTER,FILTRO DEIDRATORE
SLIDER,CURSORE
LOCK-NUT,CONTRODADO
REED SWITCH,INTERRUTTORE MAGNETICO
LID INOX PSX65,RIPARO VASCA IN ACCIAIO INOX PSX65
MAGNETIC RING,ANELLO MAGNETICO
FRONT BEAM,PANNELLO FRONTALE
BOILER CAP,TAPPO BOILER
WASH WARM,BRACCIO LAVAGGIO
IMPELLER_MAGNETIC_MOLDED_MILK,GIRANTE
REFRACTIVE,RIFRANGENTE
"EL,SOLID TOP,4 ZONE,1S,BSPL,800X850X250H","TUTTAPIASTRA EL,,4 ZONE,1-L,,ALZAT,H250"
"EL,FRYTOP,MIXED PL,1-SIDE,800X900X800H","FRYTOP EL PIASTRA LIS/RIG,1L,800MMXH800"
SPRING CLIPS,LAMIERE ELASTICHE
HANDLE CLOSURE,CHIUSURA PER MANIGLIA CELLA CON ASTA FILETTATA KIT
LEFT LID PICTURE,FOTO COPERCHIO SX FROSTY 2017
HEAD 1700X577MM,PIANTANA DI TESTA 1700X577MM
CUTTER LID,COPERCHIO TAGLIERINA
PUMP HUSING,CORPO POMPA
KIT GASKETS,KIT GUARNIZIONI
GLASS COVER,COPERCHIO IN VETRO
HI LIMIT,INTERRUTTORE
LED (RED,LED (ROSSO
GAS SPRING KIT,MOLLA
DISPLAY CABLE,CAVO
LID MV31,COPERCHIO SUPERIORE BOMBATO MV31
TENSIONER,FERMO
"REPL,= 0700267291",ANELLO
DEFLECTOR TRK2,DEFLETTORE TRK2
BRUSH,SPAZZOLA
WASHER 18X10,RONDELLA 18X10
SLICING PLATE (8236),DISCO FETTE
FOOT STRENGTHENING BOARD,PIASTRA DI RINFORZO
KIT CONVERTER,KIT CONVERTITORE
THERMOSTAT BIN,TERMOSTATO CONTENITORE
"REPL,= 077552222000",RELE' A TEMPO
SCREW SET 10PCS,VITE SET 10PCS
"REPL,= 0780003362",GUARNIZIONE FLANGIA
DOUBLE SPEAR,DOPPIA ASTA
